id,campus,goldribbon,district,county,street,city,zip,lowgrade,highgrade,region,aea,charter,magnet,peg,enrollment,percentafam,percentamindian,percentasian,percenthispanic,percentpacisl,percenttwo,percentwhite,percentecodis,mobilitypct,totalreading,totalmath,r.notmeet.pct,rapproaches,rmeets,r.masters.pct,m.notmeet.pct,mapproaches,mmeets,m.masters.pct,sat.act.part.rate,sat,act,ap.ib.part.rate,ap.ib.above.criterion.rate,nceread,ncemath,avg.growth,eng1.all.cnt.2,eng1.meets.cnt.2,eng2.all.cnt.2,eng2.meets.cnt.2,alg1.all.cnt.2,alg1.meets.cnt.2,w.avg,stud.ach.grade,residuals,camp.perf.score,camp.perf.grade,growth.grade,elem/middle.total.score.33.33.33,high.total.score.25.25.25.25(HS),staterank2018,staterank2017,staterank2016,staterank2015,grade2018,grade2017,grade2016,grade2015,2018 regional rank,2017 regional rank,2016 regional rank,2015 regional rank,level,e.avg(HS),a.avg(HS),g.rate.6yr(HS),g.rate.5yr(HS),g.rate.4yr(HS),g.rate.car(HS),college.rd(HS),college.rd.grade(HS)
79901125,Cora Thomas El,No,Lamar CISD,FORT BEND COUNTY,6822 IRBY COBB BLVD,RICHMOND,77469,EE,5,4,N,No,No,No,855,24.33%,0.58%,7.95%,48.07%,0.12%,2.46%,16.49%,50.76%,14,381,382,30.70866142,69.30%,40.41994751,20.47244094,16.23036649,83.80%,54.71%,26.96335079,NA,N/A,N/A,NA,NA,48.25016022,56.78607559,52.51811791,NA,NA,NA,NA,NA,NA,47.5659947,C,0.993742527,48.55973722,C,B,49.49840199,NA,1716,2689,2059,2451,C+,C-,C+,C,372/892,558/878,449/856,449/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101912133,Cornelius El,No,Houston ISD,HARRIS COUNTY,7475 WESTOVER ST,HOUSTON,77087-6113,EE,5,4,N,No,Yes,No,929,17.87%,0.22%,1.08%,79.98%,0.00%,0.22%,0.65%,87.30%,7.6,401,401,24.93765586,74.10%,46.3840399,23.69077307,23.94014963,75.10%,40.90%,22.69326683,NA,N/A,N/A,NA,NA,48.98641586,42.55321503,45.76981545,NA,NA,NA,NA,NA,NA,43.64089776,C,8.785688765,52.42658652,B,F,47.23182081,NA,1957,1497,876,1194,C+,B,A-,B+,417/892,334/878,236/856,236/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101920048,Cornerstone Academy,No,Spring Branch ISD,HARRIS COUNTY,9016 WESTVIEW DR,HOUSTON,77055,6,8,4,N,No,No,No,382,2.09%,0.52%,10.99%,35.34%,0.00%,3.93%,47.12%,26.44%,5.1,371,260,2.425876011,97.60%,77.62803235,49.59568733,0.384615385,99.60%,91.92%,54.61538462,NA,N/A,N/A,NA,NA,53.17353058,62.08734131,57.63043595,NA,NA,NA,NA,102,97,84.77555463,A,29.60359318,114.3791478,A,A,85.50945108,NA,9,20,39,56,A+,A+,A+,A+,2/328,8/316,8/316/302,8/316/302/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
79907147,Cornerstone El,No,Fort Bend ISD,FORT BEND COUNTY,1800 CHATHAM AVE,SUGAR LAND,77479,KG,5,4,N,No,No,No,1087,2.94%,0.46%,77.46%,5.06%,0.28%,4.14%,9.66%,2.76%,4.1,527,528,4.743833017,95.30%,85.00948767,67.9316888,3.03030303,97.00%,89.58%,76.32575758,NA,N/A,N/A,NA,NA,58.16938019,60.66593933,59.41765976,NA,NA,NA,NA,NA,NA,87.2964105,A,10.46160887,97.75801937,A,A,81.40920585,NA,32,13,42,78,A+,A+,A+,A+,12/892,5/878,17/856,17/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
170902077,Cox Int,No,Conroe ISD,MONTGOMERY COUNTY,3333 WATERBEND COVE,SPRING,77386,5,6,6,N,No,No,No,1312,10.37%,0.23%,4.65%,25.84%,0.23%,3.66%,55.03%,15.02%,9.3,1294,1298,12.44204019,87.40%,63.44667697,39.79907264,6.856702619,93.10%,71.73%,43.06625578,NA,N/A,N/A,NA,NA,52.98538589,56.24381638,54.61460114,NA,NA,NA,NA,NA,NA,67.58620443,A,0.608470519,68.19467495,A,B,63.40169501,NA,502,734,793,421,B+,A,A-,A,133/892,184/878,217/856,217/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101921112,Creekside Forest El,No,Tomball ISD,HARRIS COUNTY,5949 CREEKSIDE FOREST DR,THE WOODLANDS,77389,KG,5,4,N,No,No,No,553,1.45%,0.18%,10.31%,28.39%,0.18%,4.34%,55.15%,1.08%,6.5,255,255,1.176470588,98.80%,87.84313725,70.98039216,0.784313725,99.20%,94.12%,78.82352941,NA,N/A,N/A,NA,NA,58.97867203,64.48389435,61.73128319,NA,NA,NA,NA,NA,NA,90.98039216,A,12.68222879,103.6626209,A,A,85.37264067,NA,11,10,12,19,A+,A+,A+,A+,2/892,3/878,6/856,6/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
84910046,Creekside Int,No,Clear Creek ISD,GALVESTON COUNTY,4320 W MAIN ST,LEAGUE CITY,77573-1742,6,8,4,N,No,No,No,950,6.95%,0.00%,5.26%,29.26%,0.11%,4.21%,54.21%,20.74%,8.7,927,844,18.8781014,81.10%,54.15318231,27.40021575,20.85308057,79.10%,48.82%,15.63981043,NA,N/A,N/A,NA,NA,51.6623764,48.77796173,50.22016907,NA,NA,NA,NA,84,84,51.48417409,B,-8.023121826,43.46105227,C,C,48.34007668,NA,646,763,464,408,B-,B,B+,A-,129/328,138/316,138/316/302,138/316/302/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
101921044,Creekside Park J H,No,Tomball ISD,HARRIS COUNTY,8711 CREEKSIDE GREEN DR,THE WOODLANDS,77375,6,8,4,N,No,No,No,596,2.85%,0.00%,7.05%,42.45%,0.00%,3.02%,44.63%,7.38%,0,586,520,4.607508532,95.40%,77.81569966,54.43686007,3.269230769,96.70%,85.00%,53.46153846,NA,N/A,N/A,NA,NA,53.93999863,52.4649353,53.20246697,NA,NA,NA,NA,67,67,81.40784983,A,10.09034157,91.4981914,A,B,75.29413323,NA,44,N/A,N/A,N/A,A+,N/A,N/A,N/A,13/328,N/A,N/A,N/A,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
101921115,Creekview El,No,Tomball ISD,HARRIS COUNTY,8877 W NEW HARMONY TRAIL,THE WOODLANDS,77375,KG,5,4,N,No,No,No,525,2.29%,0.00%,5.52%,34.48%,0.00%,4.00%,53.71%,8.38%,10.7,231,232,9.956709957,90.00%,71.42857143,49.78354978,8.620689655,91.40%,68.53%,46.55172414,NA,N/A,N/A,NA,NA,52.89292526,50.77435303,51.83363915,NA,NA,NA,NA,NA,NA,69.98152709,A,-2.147084777,67.83444232,A,C,63.15331965,NA,517,407,N/A,N/A,B+,A,N/A,N/A,137/892,114/878,N/A,N/A,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101913043,Creekwood Middle,No,Humble ISD,HARRIS COUNTY,3603 LK HOUSTON PKWY,KINGWOOD,77339-5216,6,8,4,N,No,No,No,1110,2.97%,0.54%,3.51%,22.52%,0.27%,3.06%,67.12%,11.35%,6.8,1087,904,13.06347746,86.90%,60.16559338,33.67065317,13.38495575,86.60%,59.85%,26.21681416,NA,N/A,N/A,NA,NA,49.53412247,55.66514587,52.59963417,NA,NA,NA,NA,187,183,60.00536306,A,-7.558953144,52.44640992,B,B,54.96211858,NA,363,266,245,296,B+,A,A,A,88/328,64/316,64/316/302,64/316/302/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
